epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.83716,0.74916,0.28571,1,0.8104,3.334e-05,3.334e-05,3.334e-05
2,7.42201,0.72035,0.35714,1,0.71359,8.05995e-05,8.05995e-05,8.05995e-05
3,11.052,0.59553,0.64286,1,0.62441,0.000124558,0.000124558,0.000124558
4,14.5343,0.57148,0.92857,1,0.47796,0.000165216,0.000165216,0.000165216
5,17.9213,0.49378,1,1,0.39875,0.000202574,0.000202574,0.000202574
6,21.2753,0.56307,1,1,0.2427,0.000236631,0.000236631,0.000236631
7,24.7399,0.56682,1,1,0.18863,0.000267387,0.000267387,0.000267387
8,28.1339,0.43874,1,1,0.15141,0.000294842,0.000294842,0.000294842
9,31.5465,0.34591,1,1,0.12051,0.000318997,0.000318997,0.000318997
10,34.8913,0.4173,1,1,0.10428,0.000339851,0.000339851,0.000339851
11,38.2524,0.32823,1,1,0.092,0.000357405,0.000357405,0.000357405
12,41.7458,0.35183,1,1,0.07537,0.000371658,0.000371658,0.000371658
13,45.1446,0.30449,1,1,0.05535,0.00038261,0.00038261,0.00038261
14,48.5142,0.30981,1,1,0.04337,0.000390261,0.000390261,0.000390261
15,51.8704,0.17704,1,1,0.04337,0.000394612,0.000394612,0.000394612
16,55.2361,0.13964,1,1,0.03107,0.000395662,0.000395662,0.000395662
17,58.5982,0.21474,1,1,0.02031,0.000393412,0.000393412,0.000393412
18,62.0647,0.18221,1,1,0.02031,0.000387861,0.000387861,0.000387861
19,65.4437,0.25324,1,1,0.0159,0.000379009,0.000379009,0.000379009
20,68.8531,0.317,1,1,0.00889,0.000366857,0.000366857,0.000366857
21,72.2359,0.17529,1,1,0.00889,0.000351404,0.000351404,0.000351404
22,75.7403,0.21373,1,1,0.00981,0.00033265,0.00033265,0.00033265
23,79.0411,0.19241,1,1,0.00981,0.000310595,0.000310595,0.000310595
24,82.4297,0.1499,1,1,0.0061,0.00028524,0.00028524,0.00028524
25,85.8096,0.19882,1,1,0.0061,0.000256585,0.000256585,0.000256585
26,89.238,0.16929,1,1,0.00534,0.000224628,0.000224628,0.000224628
27,92.6021,0.08496,1,1,0.00534,0.000189371,0.000189371,0.000189371
28,95.9903,0.04994,1,1,0.00588,0.000150813,0.000150813,0.000150813
29,99.4061,0.08686,1,1,0.00588,0.000108955,0.000108955,0.000108955
30,102.774,0.1261,1,1,0.00588,6.37961e-05,6.37961e-05,6.37961e-05
